id,calories,proteins,fat,carbohydrate,name,image,Cluster,label_nutrisi,penjelasan_realistis,status_makanan,disease_risk_analysis,status,level_risiko,health_score
677,52.0,1.8,3.6,3.0,Kangkung tumis,https://scm-assets.constant.co/scm/unilever/e9dc924f238fa6cc29465942875fe8f0/17ea3056-4e78-4d25-bd54-cf3a9296188b.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,91
679,42.0,3.3,0.2,9.6,Kapri Muda,https://image-cdn.medkomtek.com/OCSqvD25KLrQq1bSKxrCwGP_oeI=/640x640/smart/klikdokter-media-buckets/medias/2309803/original/019268400_1575683224-Manfaat-Kacang-Kapri-bagi-Kesehatan-by-Brent-Hofacker-123rf-101578039_s.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,95
681,158.0,4.4,3.2,27.8,Kapusa,https://nilaigizi.com/assets/images/produk/produk_1538364792.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,79
682,25.0,2.3,0.2,3.5,Karawila,https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2022/11/14043340/5-manfaat-sayur-oyong-bagi-kesehatan-tubuh-halodoc.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,97
683,146.7,5.9,5.9,19.7,Karedok,https://asset.kompas.com/crops/szsUOraQ00vakiV0314KT6-71v8=/0x0:1000x667/750x500/data/photo/2021/07/07/60e56c9f60649.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,78
684,92.0,2.2,3.3,14.1,Karedok sayur,https://asset.kompas.com/crops/jbNcoL1_PmijICoxtO4126XbZgM=/0x0:1000x667/780x390/data/photo/2021/07/07/60e56c9f60649.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,86
685,292.0,11.2,11.2,2.8,Karoket,https://img-global.cpcdn.com/recipes/3ac8414039a793c2/680x482cq70/karoket-indomie-foto-resep-utama.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,68
686,73.0,16.4,0.3,0.0,Katak,https://cdn1-production-images-kly.akamaized.net/e8re_jFwgunefEHuSaulapyNoh4=/1200x900/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/1272374/original/013170600_1466667636-dagk.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,96
689,120.0,3.5,2.5,20.8,Kawista segar,https://cf.shopee.co.id/file/293d8f06ecc4a6b0022b24dbc2230d06_tn,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,84
690,46.0,5.7,1.3,9.0,Kecap,https://awsimages.detik.net.id/community/media/visual/2022/07/18/titik-kritis-kehalalan-kecap-1.jpeg?w=700&q=90,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,93
691,464.0,1.2,18.6,73.0,Kecimpring singkong goreng,https://www.eresep.com/media/images/resep/2020/11/18/u9be0rva491sknkbkqfhhuifa1kecip.jpg.1000x650_q85.jpg,0,Karbo Tinggi,"Cukup tinggi karbohidrat, sebaiknya batasi jika sedang mengontrol gula darah.",Perhatian,"Diabetes Mellitus, Dislipidemia (Kolesterol)",Sedang,Perhatian,27
693,35.0,2.9,0.2,0.8,Kecipir buah muda,https://asset-a.grid.id/crop/0x0:0x0/x/photo/2018/05/07/3810331211.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,98
694,32.0,2.9,0.2,5.8,Kecipir muda segar,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/5/4/e8f64f70-84a2-45bc-b615-b63eb60fe9cb.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,96
695,34.0,0.9,1.0,6.7,Kecombrang segar,https://images.tokopedia.net/img/cache/700/VqbcmM/2021/3/15/aa94797a-c3d6-4f9f-a9e2-942dec4ebeea.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Risiko Malnutrisi,Ringan,Aman,95
696,47.0,0.5,0.2,10.4,Kedondong segar,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/12/4/5329d842-9637-48e3-9d33-eb653a5d9f88.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Risiko Malnutrisi,Ringan,Aman,94
697,326.0,22.8,20.3,13.1,Keju,https://images.alodokter.com/dk0z4ums3/image/upload/v1621838354/attached_image/manfaat-keju-yang-sayang-untuk-dilewatkan.jpg,1,Lemak Tinggi,"Kandungan lemak cukup tinggi, berisiko menambah asupan kalori harian dengan cepat.",Perhatian,Relatif Aman / Nutrisi Seimbang,Sedang,Perhatian,49
698,590.0,27.0,49.0,20.9,Keju Kacang Tanah,https://img.freepik.com/free-photo/cheddar-cheese-dark-wooden-surface_1150-41937.jpg?w=1060&t=st=1684238932~exp=1684239532~hmac=578424a4cc6bde6d195628ec281e5daa943e767e0e6d813354904914dc34af51,1,Kalori Tinggi & Lemak Tinggi,"Kandungan lemak cukup tinggi, berisiko menambah asupan kalori harian dengan cepat. Porsi ini sangat mengenyangkan, awasi asupan makanan lain di jam berikutnya. Sumber protein yang sangat baik.",Waspada,"Hipertensi & Penyakit Jantung, Dislipidemia (Kolesterol), Obesitas",Berat,Waspada,0
699,623.0,2.0,52.1,36.5,Kelapa hutan kering,https://cf.shopee.co.id/file/b744bbf5c824fbcba58e1aeff62b2e8f,1,Kalori Tinggi & Lemak Tinggi,"Kandungan lemak cukup tinggi, berisiko menambah asupan kalori harian dengan cepat. Porsi ini sangat mengenyangkan, awasi asupan makanan lain di jam berikutnya.",Waspada,"Hipertensi & Penyakit Jantung, Dislipidemia (Kolesterol), Obesitas",Berat,Waspada,0
700,17.0,0.2,0.1,3.8,Kelapa Muda air,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=500&auto=format&fit=crop,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Risiko Malnutrisi,Ringan,Aman,98
702,180.0,4.0,15.0,10.0,Kelapa Setengah Tua daging,https://doktersehat.com/wp-content/uploads/2020/05/manfaat-daging-kelapa.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,66
703,359.0,3.4,34.7,14.0,Kelapa Tua daging,https://asset-a.grid.id/crop/0x0:0x0/x/photo/2022/09/06/daging-kelapajpg-20220906030742.jpg,1,Lemak Tinggi,"Kandungan lemak cukup tinggi, berisiko menambah asupan kalori harian dengan cepat.",Perhatian,Hipertensi & Penyakit Jantung,Berat,Perhatian,26
705,111.0,1.5,0.3,27.2,Kelewih,https://kecipir.com/blog/wp-content/uploads/2018/02/arto_commun_070509_0128_ltn.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,86
706,142.0,16.9,7.8,0.0,Kelinci daging segar,https://cdn0-production-images-kly.akamaized.net/Gw1RJQgcjxFIOkJZPYqIZasno4E=/1200x1200/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/759485/original/044795000_1414853739-rabbit-carcass-1-rev.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,81
708,380.0,48.9,13.8,23.3,Kembang tahu,https://asset.kompas.com/crops/sgS6iHzRJjt2l5GMjgtm8spQscM=/0x0:1000x667/750x500/data/photo/2020/08/22/5f412ff8eee87.jpg,1,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Sedang,Aman,53
709,44.0,1.8,0.6,9.6,Kembang Turi,"https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,q_auto:best,w_640/v1568729650/gegx4jyvwt2yemk2wou0.jpg",2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,94
710,636.0,19.0,63.0,8.0,Kemiri,https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2021/10/11044054/Mengenal-Manfaat-Kemiri-untuk-Kesehatan-Tubuh.jpg,1,Kalori Tinggi & Lemak Tinggi,"Kandungan lemak cukup tinggi, berisiko menambah asupan kalori harian dengan cepat. Porsi ini sangat mengenyangkan, awasi asupan makanan lain di jam berikutnya.",Waspada,"Hipertensi & Penyakit Jantung, Dislipidemia (Kolesterol), Obesitas",Berat,Waspada,0
711,657.0,15.0,66.0,13.0,Kenari,https://cdn.antaranews.com/cache/800x533/2021/09/03/Screenshot_2021-09-03-09-41-57-05_copy_1055x704.jpg,1,Kalori Tinggi & Lemak Tinggi,"Kandungan lemak cukup tinggi, berisiko menambah asupan kalori harian dengan cepat. Porsi ini sangat mengenyangkan, awasi asupan makanan lain di jam berikutnya.",Waspada,"Hipertensi & Penyakit Jantung, Dislipidemia (Kolesterol), Obesitas",Berat,Waspada,0
712,616.0,13.9,56.2,13.7,Kenari banda kering,https://hypeabis.id/assets/content/20230603170956000000pexelsjuliavolk5769700.jpg,1,Kalori Tinggi & Lemak Tinggi,"Kandungan lemak cukup tinggi, berisiko menambah asupan kalori harian dengan cepat. Porsi ini sangat mengenyangkan, awasi asupan makanan lain di jam berikutnya.",Waspada,"Hipertensi & Penyakit Jantung, Dislipidemia (Kolesterol), Obesitas",Berat,Waspada,0
713,83.0,2.0,0.1,19.1,Kentang,https://img.freepik.com/free-photo/side-view-basket-bowl-full-potato-sackcloth-wooden-surface-background-with-copy-space_141793-5650.jpg?w=1060&t=st=1684232790~exp=1684233390~hmac=d4c5a62367069d98e3ddf3935be7b63e3f650cd00d6f80da197e948280b1e1b3,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,90
